UID,Title,Authors,Year,Venue,DOI,Abstract,Keywords,Document_Type,Scopus,ScienceDirect,Elicit,Query_Hits,Master_ID,Document_Class,Stock_Domain,Eligible_Target,AI_ML_DL,Empirical_Evaluation,Strong_Stock_Target_Context,Adjacent_Target_Context,NonStock_Domain_Context,Direct_Core_Evidence,Strategic_Theme_Count,Relevance_Score,Working_Relevance_Tier,Research_Use,Elicit_Priority,Gap_Dimensions_Evidenced,Stock_Evidence,Target_Evidence,AI_Evidence,Empirical_Evidence,Stock_Target_Sentence_Evidence,Adjacent_Evidence,NonStock_Evidence,Historical_Data,Technical_Indicators,Fundamental_Data,Financial_News,Social_Media,Sentiment,FinBERT_BERT_RoBERTa,LLM_FinGPT,Multimodal,Fusion,Transformer_Attention,LSTM_GRU,Optimization,Metaheuristic,XAI,Temporal_Validation,Indian_Market,Multi_Stock,Historical_Data_Evidence,Technical_Indicators_Evidence,Fundamental_Data_Evidence,Financial_News_Evidence,Social_Media_Evidence,Sentiment_Evidence,FinBERT_BERT_RoBERTa_Evidence,LLM_FinGPT_Evidence,Multimodal_Evidence,Fusion_Evidence,Transformer_Attention_Evidence,LSTM_GRU_Evidence,Optimization_Evidence,Metaheuristic_Evidence,XAI_Evidence,Temporal_Validation_Evidence,Indian_Market_Evidence,Multi_Stock_Evidence
doi:10.3390/jrfm18080417,DASF-Net: A Multimodal Framework for Stock Price Forecasting with Diffusion-Based Graph Learning and Optimized Sentiment Fusion,Nguyen N.-H.; Nguyen T.-T.; Ngo Q.T.,2025,Journal of Risk and Financial Management,10.3390/jrfm18080417,"Stock price forecasting remains a persistent challenge in time series analysis due to complex inter-stock relationships and dynamic textual signals such as financial news. While Graph Neural Networks (GNNs) can model relational structures, they often struggle with capturing higher-order dependencies and are sensitive to noise. Moreover, sentiment signals are typically aggregated using fixed time windows, which may introduce temporal bias. To address these issues, we propose DASF-Net (Diffusion-Aware Sentiment Fusion Network), a multimodal framework that integrates structural and textual information for robust prediction. DASF-Net leverages diffusion processes over two complementary financial graphs—one based on industry relationships, the other on fundamental indicators—to learn richer stock representations. Simultaneously, sentiment embeddings extracted from financial news using FinBERT are aggregated over an empirically optimized window to preserve temporal relevance. These modalities are fused via a multi-head attention mechanism and passed to a temporal forecasting module. DASF-Net integrates daily stock prices and news sentiment, using a 3-day sentiment aggregation window, to forecast stock prices over daily horizons (1–3 days). Experiments on 12 large-cap S&P 500 stocks over four years demonstrate that DASF-Net outperforms competitive baselines, achieving up to 91.6% relative reduction in Mean Squared Error (MSE). Results highlight the effectiveness of combining graph diffusion and sentiment-aware features for improved financial forecasting. © 2025 by the authors.",diffusion-based graph learning; financial forecasting; FinBERT; multi-modal deep learning; sentiment analysis; stock price prediction,Article,Yes,No,Yes,EL04; SC01; SC03,M-2447,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,8,32,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Fundamental_Data; Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Fusion; Transformer_Attention; Optimization,s&p 500; stock price; stock prices,price forecasting; price prediction; stock price; stock prices,attention; deep learning; finbert; graph neural; neural networks,experiments; mse; outperforms,"DASF-Net: A Multimodal Framework for Stock Price Forecasting with Diffusion-Based Graph Learning and Optimized Sentiment Fusion || Stock price forecasting remains a persistent challenge in time series analysis due to complex inter-stock relationships and dynamic textual signals such as financial news. || DASF-Net integrates daily stock prices and news sentiment, using a 3-day sentiment aggregation window, to forecast stock prices over daily horizons (1–3 days).",sentiment analysis,,Yes,Unclear,Yes,Yes,Unclear,Yes,Yes,Unclear,Yes,Yes,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,time series,,fundamental indicators,financial news,,sentiment,finbert,,multi-modal; multimodal,fusion,attention mechanism,,optimized,,,,,
doi:10.14445/23488549/ijece-v13i5p119,Multimodal Stock Price Prediction Using a Hybrid GRU– Multi-Head Attention Model with Ensemble Sentiment and Technical Indicators,Kakde A.K.; Dale M.P.,2026,SSRG International Journal of Electronics and Communication Engineering,10.14445/23488549/ijece-v13i5p119,"This proposed methodology introduces a hybrid model integrating sentiment scores with historical data and technical indicators. Ensemble sentiment scores were calculated using three sentiment methods: Financial Bidirectional Encoder Representations from Transformers (FinBERT), Robustly Optimized BERT Pretraining Approach (RoBERTa), and Distilled Robustly Optimized BERT Pretraining Approach (DistilRoBERTa). Sentiments were extracted from the Global Database of Events, Language and Tone (GDELT) Project, Google RSS feeds, and news articles from The Economic Times, alongside historical stock data from Yahoo Finance of selected NIFTY 50 companies spanning January 3, 2022, to November 15, 2025. A Gated Recurrent Unit-Multi-Head Attention (GRU-MHA) model was utilized to identify sequential dependencies and predict the next-day opening prices for Infosys, Tata Motors, Sun Pharma, and Tata Steel within the NIFTY 50 index. Model performance was evaluated using Mean Absolute Error (MAE), Root Mean Squared Error (RMSE), Coefficient of Determination (R2), and Mean Absolute Percentage Error (MAPE). The ensemble sentiment-driven GRU-MHA model had low errors, with MAE = 0.1631 and RMSE = 0.2337 for Infosys and MAE = 0.7607 for Tata Steel. Most stocks had an MAPE of less than 1%, with Sun Pharma at 0.49% and Tata Steel at 0.52%. R2 values above 0.92 across sectors and as high as 0.9893 showed high explanatory power, outperforming standalone sentiment models. © 2026 Seventh Sense Research Group®.",Ensemble Sentiment Analysis (ESA); Gated Recurrent Unit (Gru); Multi-Head Attention (MHA); Sentiment Analysis (SA); Stock Market (SM); Stock Price (SP); Technical Analysis (TA),Article,Yes,No,No,SC01; SC02,M-2045,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,7,30,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Technical_Indicators; Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Optimization; Indian_Market,nifty; nifty 50; stock market; stock price,price prediction; stock price,attention; bert; finbert; gru; hybrid model; roberta,evaluated; mae; mape; r2; rmse,"Multimodal Stock Price Prediction Using a Hybrid GRU– Multi-Head Attention Model with Ensemble Sentiment and Technical Indicators || A Gated Recurrent Unit-Multi-Head Attention (GRU-MHA) model was utilized to identify sequential dependencies and predict the next-day opening prices for Infosys, Tata Motors, Sun Pharma, and Tata Steel within the NIFTY 50 index.",sentiment analysis,,Unclear,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,,technical analysis; technical indicators,,news articles,,sentiment; sentiment scores,bert; finbert; roberta,,multimodal,,,gru,optimized,,,,nifty; nifty 50,
doi:10.1007/s41060-025-00983-w,SentiVol-GA: a volatility-scaled genetic fusion of predictive models and financial sentiment for adaptive stock forecasting,Singh M.; Tunga H.; Kar S.,2026,International Journal of Data Science and Analytics,10.1007/s41060-025-00983-w,"SentiVol-GA is an evolvable hybrid framework for stock price forecasting. This model integrates statistical models, deep learning architectures, financial sentiment analysis, and volatility-aware optimization through a Genetic Algorithm (GA). This framework combines five predictive models—Linear Regression, LSTM, GRU, Bi-LSTM, and ARIMA—with sentiment signals extracted from FinBERT, VADER, and the Loughran–McDonald dictionary. Its core innovation lies in a volatility-scaling mechanism that adjusts sentiment impact during turbulent periods, while the GA periodically optimizes model and sentiment weights to minimize forecasting error thus sustaining the model’s predictive stability. This empirical evaluation across eight Indian IT-sector stocks—covering large, mid- and small-cap segments, demonstrates up to 12% improvement in R2, 30–60% reduction in RMSE, and 20–35% gain in tolerance-based accuracy over classical and deep-learning baselines. Nonparametric Friedman and Wilcoxon tests (p < 0.05) confirm that these performance gains are statistically significant. SentiVol-GA offers a volatility-aware, sentiment-driven, and dynamically optimized approach that is scalable, interpretable, and robust for intelligent financial decision-making. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2025.",Adaptive stock forecasting; Deep learning; Financial time series; Genetic algorithm; Sentiment analysis; SentiVol-GA; Volatility scaling; Autoregressive moving average model; Decision making; Economic analysis; Electronic trading; Financial markets; Forecasting; Learning algorithms; Prediction models; Time series analysis; Adaptive stock forecasting; Deep learning; Evolvable; Financial time series; Predictive models; Scalings; Sentiment analysis; Sentivol-genetic algorithm; Stock forecasting; Volatility scaling; Deep learning; Genetic algorithms; Sentiment analysis,Article,Yes,No,No,SC01; SC04; SC05,M-0328,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,7,30,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Technical_Indicators; Sentiment; FinBERT_BERT_RoBERTa; Fusion; Optimization; Metaheuristic; XAI,stock forecasting; stock price,price forecasting; stock price,deep learning; finbert; gru; lstm,accuracy; evaluation; r2; rmse,SentiVol-GA: a volatility-scaled genetic fusion of predictive models and financial sentiment for adaptive stock forecasting || SentiVol-GA is an evolvable hybrid framework for stock price forecasting.,sentiment analysis,,Yes,Yes,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,time series,moving average,,,,sentiment,finbert,,,fusion,,bi-lstm; gru; lstm,optimized,genetic algorithm,interpretable,,,
doi:10.1080/23322039.2026.2653292,"Expected price framework for Indian equities: a Random Forest model using behavioural, structural, and fundamental data",Natarajan V.K.; Akbar M.A.; Aloumi D.; Khudhur A.A.,2026,Cogent Economics and Finance,10.1080/23322039.2026.2653292,"The article examines equity price deviations in India by integrating behavioural, structural, and firm fundamentals within a Random Forest (RF) expected-price framework. Traditional valuation approaches such as discounted cash flow (DCF) and linear regression often struggle to capture nonlinear distortions, particularly in emerging markets where retail sentiment, social media activity, and structural factors play a decisive role. To address this gap, we construct a representative dataset covering 2005–2024 that combine firm-level fundamentals (EPS, ROE, EBITDA margin), structural attributes (promoter holdings, split history), behavioural indicators (Google Trends, sentiment scores), and market factors (volatility, FII/DII flows, and trading volume). The RF model is trained under an annual rolling-window design and optimized through grid search to ensure robustness across different market regimes. Predictive performance is evaluated using standard error metrics (RMSE, MAE, and directional accuracy), while interpretability is enhanced through SHAP values and scenario-based analysis. Price deviation is defined as the difference between the observed market price and the RF-estimated expected price benchmark, where positive values indicate relative overpricing and negative values indicate relative under-pricing against the model benchmark. The results show that firms with weaker fundamentals and elevated retail attention tend to exhibit larger expected-price deviations, while periods of heightened market stress are associated with more pronounced negative deviations among mid-cap stocks. Overall, the study proposes a transparent and replicable expected-price framework that integrates behavioural finance insights with machine learning, offering practical relevance for investors and regulators. It enriches equity price literature in emerging markets and underscores integrating non-linear drivers into valuation. © 2026 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",behavioural finance; Expected price modelling; indian equities; investor attention; random forest; sentiment analysis,Article,Yes,No,No,SC01; SC03,M-1593,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,6,27,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Fundamental_Data; Sentiment; Optimization; XAI; Temporal_Validation; Indian_Market,equity price,equity price,attention; machine learning; random forest,accuracy; benchmark; dataset; evaluated; mae; results show; rmse,"The article examines equity price deviations in India by integrating behavioural, structural, and firm fundamentals within a Random Forest (RF) expected-price framework. || It enriches equity price literature in emerging markets and underscores integrating non-linear drivers into valuation. © 2026 The Author(s).",sentiment analysis,,Yes,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,trading volume; volume,,cash flow; eps; roe,,social media,sentiment; sentiment scores,,,,,,,grid search; optimized,,interpretability; shap,rolling-window,india,
doi:10.1038/s41598-025-26087-w,A novel framework using particle swarm optimization and long short-term memory networks for stock market forcasting,Safari M.H.; Hosseini S.,2025,Scientific Reports,10.1038/s41598-025-26087-w,"Accurate stock price forecasting remains a challenging task due to the complex, nonlinear, and sentiment-driven nature of financial markets. This study presents an intelligent hybrid framework that integrates long-short-term memory (LSTM) networks with metaheuristic optimization and financial sentiment analysis to improve stock price forecasting. Initially, three single-layer, two-layers, and three-layer LSTM architectures are evaluated using fixed parameters, showing that deeper networks do not always perform better without proper tuning. Three nature-inspired algorithms, particle swarm optimization (PSO), gray wolf optimization (GWO), and artificial rabbit optimization (ARO), are used to optimize the model configurations. Experimental results showed that PSO consistently outperformed other techniques in all evaluation metrics (RMSE, MAE, R², MAPE). In the final stage, sentiment features extracted from economic news are integrated into the input data using the FinBERT model. The resulting hybrid model, SEN_PSO_LSTM, achieved superior forecasting performance on the four major stocks Apple, Amazon, Google, and Microsoft, as well as three others from diverse industries, including JPMorgan Chase in the financial sector, UnitedHealth Group in healthcare, and Toyota Motor in the automotive industry.The findings confirm that combining deep learning with hyperparametric optimization and sentiment analysis significantly improves forecasting accuracy under volatile market conditions. © The Author(s) 2025.",Artificial rabbit optimization (ARO); Financial news; Gray wolf optimization (GWO); Long-short-term memory (LSTM); Particle swarm optimization (PSO); Sentiment analysis; Stock market prediction; algorithm; article; benchmarking; Canis lupus; deep learning; forecasting; human; Leporidae; long short term memory network; metaheuristics; particle swarm optimization; pharmaceutics; prediction; root mean squared error; sentiment analysis; stock market,Article,Yes,No,Yes,EL05; EL07; EL08; SC01; SC04,M-1500,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,5,26,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Optimization; Metaheuristic,stock market; stock price,price forecasting; stock price,deep learning; finbert; hybrid model; lstm,accuracy; evaluated; evaluation; experimental; mae; mape; rmse,"Accurate stock price forecasting remains a challenging task due to the complex, nonlinear, and sentiment-driven nature of financial markets. || This study presents an intelligent hybrid framework that integrates long-short-term memory (LSTM) networks with metaheuristic optimization and financial sentiment analysis to improve stock price forecasting.",sentiment analysis,,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,,,,financial news,,sentiment,finbert,,,,,long short term memory; long short-term memory; lstm,metaheuristic,gray wolf; gwo; particle swarm; pso,,,,
doi:10.3390/electronics14061090,Comparative Investigation of GPT and FinBERT’s Sentiment Analysis Performance in News Across Different Sectors,Kang J.-W.; Choi S.-Y.,2025,Electronics (Switzerland),10.3390/electronics14061090,"GPT (Generative Pre-trained Transformer) is a groundbreaking generative model that has facilitated substantial progress in natural language processing (NLP). As the GPT-n series has continued to evolve, its applications have garnered considerable attention across various industries, particularly in finance. In contrast, traditional financial research has primarily focused on analyzing structured data such as stock prices. However, recent trends highlight the growing importance of natural language techniques that address unstructured factors like investor sentiment and the impact of news. Positive or negative information about specific companies, industries, or the overall economy found in news or social media can influence investor behavior and market volatility, highlighting the critical need for robust sentiment analysis. In this context, we utilize the state-of-the-art language model GPT and the finance-specific sentiment analysis model FinBERT to perform sentiment and time-series analyses on financial news data, comparing the performance of the two models to demonstrate the potential of GPT. Furthermore, by examining the relationship between sentiment shifts in financial markets and news events, we aim to provide actionable insights for investment decision-making, emphasizing both the performance and interpretability of the models. To enhance the performance of GPT-4o, we employed a systematic approach to prompt design and optimization. This process involved iterative refinement, guided by insights derived from a labeled dataset. This approach emphasized the pivotal importance of prompt design in improving model accuracy, resulting in GPT-4o achieving higher performance than FinBERT. During the experiment phase, sentiment scores were generated from New York Times news data and visualized through time-series graphs for both models. Although both models exhibited similar trends, significant differences arose depending on news content characteristics across categories. According to the results, the performance of GPT-4o, optimized through prompt engineering, outperformed that of FinBERT by up to 10% depending on the sector. These findings emphasize the importance of prompt engineering and demonstrate GPT-4o’s potential to improve sentiment analysis. Furthermore, the categorized news data approach suggests potential applications in predicting the outlook of categorized financial products. © 2025 by the authors.",FinBERT; GPT; prompt design; sentiment analysis; The New York Times,Article,Yes,No,No,SC01; SC05,M-2384,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,6,26,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; Transformer_Attention; Optimization; XAI,stock prices,stock prices,attention; finbert; transformer,accuracy; comparative; dataset; experiment,"In contrast, traditional financial research has primarily focused on analyzing structured data such as stock prices.",investor sentiment; sentiment analysis,,Unclear,Unclear,Unclear,Yes,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,,,,financial news,social media,sentiment; sentiment scores,finbert,,,,transformer,,optimized,,interpretability,,,
doi:10.3390/bdcc8110143,"Innovative Sentiment Analysis and Prediction of Stock Price Using FinBERT, GPT-4 and Logistic Regression: A Data-Driven Approach",Shobayo O.; Adeyemi-Longe S.; Popoola O.; Ogunleye B.,2024,Big Data and Cognitive Computing,10.3390/bdcc8110143,"This study explores the comparative performance of cutting-edge AI models, i.e., Finaance Bidirectional Encoder representations from Transsformers (FinBERT), Generatice Pre-trained Transformer GPT-4, and Logistic Regression, for sentiment analysis and stock index prediction using financial news and the NGX All-Share Index data label. By leveraging advanced natural language processing models like GPT-4 and FinBERT, alongside a traditional machine learning model, Logistic Regression, we aim to classify market sentiment, generate sentiment scores, and predict market price movements. This research highlights global AI advancements in stock markets, showcasing how state-of-the-art language models can contribute to understanding complex financial data. The models were assessed using metrics such as accuracy, precision, recall, F1 score, and ROC AUC. Results indicate that Logistic Regression outperformed the more computationally intensive FinBERT and predefined approach of versatile GPT-4, with an accuracy of 81.83% and a ROC AUC of 89.76%. The GPT-4 predefined approach exhibited a lower accuracy of 54.19% but demonstrated strong potential in handling complex data. FinBERT, while offering more sophisticated analysis, was resource-demanding and yielded a moderate performance. Hyperparameter optimization using Optuna and cross-validation techniques ensured the robustness of the models. This study highlights the strengths and limitations of the practical applications of AI approaches in stock market prediction and presents Logistic Regression as the most efficient model for this task, with FinBERT and GPT-4 representing emerging tools with potential for future exploration and innovation in AI-driven financial analytics. © 2024 by the authors.",FinBERT; FinBERT model; logistic regression; Optuna; time series cross-validation; Electronic trading; Financial markets; Prediction models; Cross validation; Data-driven approach; Finaance bidirectional encoder representation from transsformer; Finaance bidirectional encoder representation from transsformer model; Logistics regressions; Optuna; Sentiment analysis; Stock price; Time series cross-validation; Times series; Logistic regression,Article,Yes,No,No,SC01; SC04; SC06,M-2355,Primary/Other,Yes,Price; Direction/Movement,Yes,Yes,Yes,Yes,,Yes,6,26,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Financial_News; Sentiment; FinBERT_BERT_RoBERTa; LLM_FinGPT; Transformer_Attention; Optimization,stock index; stock market; stock markets; stock price,price movements; stock index prediction; stock price,finbert; machine learning; transformer,accuracy; auc; comparative; f1; precision; recall,"Innovative Sentiment Analysis and Prediction of Stock Price Using FinBERT, GPT-4 and Logistic Regression: A Data-Driven Approach || This study explores the comparative performance of cutting-edge AI models, i.e., Finaance Bidirectional Encoder representations from Transsformers (FinBERT), Generatice Pre-trained Transformer GPT-4, and Logistic Regression, for sentiment analysis and stock index prediction using financial news and the NGX All-Share Index data label. || This study highlights the strengths and limitations of the practical applications of AI approaches in stock market prediction and presents Logistic Regression as the most efficient model for this task, with FinBERT and GPT-4 representing emerging tools with potential for future exploration and innovation in AI-driven financial analytics. © 2024 by the authors.",market sentiment; sentiment analysis,,Yes,Unclear,Unclear,Yes,Unclear,Yes,Yes,Yes,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,time series,,,financial news,,sentiment; sentiment scores,finbert,gpt-4,,,transformer,,hyperparameter optimization; optuna,,,,,
doi:10.1007/s41870-025-02802-8,SABER: a multimodal sentiment aware regression framework using ROBERTa BiLSTM and deep batch active learning for stock market prediction,Singh C.; Warraich J.; Thakkar R.; Vo N.,2025,International Journal of Information Technology (Singapore),10.1007/s41870-025-02802-8,"Stock market prediction remains one of the most intricate challenges in financial data science due to its non-linearity, volatility, and susceptibility to human sentiment. Traditional time-series forecasting techniques—relying solely on historical price indicators—often fall short in capturing the psychological and behavioral dimensions of market dynamics. To address these limitations, this study introduces SABER (Sentiment-Aware BiLSTM Ensemble with RO-BERTa), a novel multimodal architecture that fuses structured financial indicators with deep contextual sentiment embeddings derived from Robustly Optimized Bidirectional Encoder Representations from Transformers (RO-BERTa), temporal modeling via Bidirectional Long Short-Term Memory (BiLSTM), and data efficiency through Deep Batch Active Learning (DBAL). This framework effectively bridges the gap between qualitative sentiment and quantitative financial data, enabling more robust stock predictions. The model was trained and evaluated on a combination of three high-quality datasets: Twitter-based financial sentiment (TSA), large-scale tweet network data (Twitter7), and historical NASDAQ stock prices (2020–2024). Empirical results on major tech stocks (AAPL, MSFT, AMZN, GOOGL) reveal SABER’s superior performance across key metrics—achieving RMSE of 0.92, R² of 0.89, and directional accuracy of 88.2%—outperforming baseline and advanced models alike. © Bharati Vidyapeeth's Institute of Computer Applications and Management 2025.",BiLSTM; Multimodal learning; NASDAQ; ROBERTa; Sentiment analysis; Stock prediction,Article,Yes,No,No,SC01; SC02,M-0333,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,4,25,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Sentiment; FinBERT_BERT_RoBERTa; Multimodal; Optimization,nasdaq; stock market; stock prediction; stock prices,stock prices,roberta,accuracy; datasets; evaluated; rmse,"SABER: a multimodal sentiment aware regression framework using ROBERTa BiLSTM and deep batch active learning for stock market prediction || Stock market prediction remains one of the most intricate challenges in financial data science due to its non-linearity, volatility, and susceptibility to human sentiment. || The model was trained and evaluated on a combination of three high-quality datasets: Twitter-based financial sentiment (TSA), large-scale tweet network data (Twitter7), and historical NASDAQ stock prices (2020–2024).",sentiment analysis,,Yes,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Yes,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,historical price,,,,tweet; twitter,sentiment,roberta,,multimodal,,,bilstm; long short-term memory,optimized,,,,,
doi:10.1007/s10614-024-10719-w,Stock Market Prediction Using Deep Attention Bi-directional Long Short-Term Memory,Prakash B.; Saleena B.,2025,Computational Economics,10.1007/s10614-024-10719-w,"Trustworthy predictions of future stock can promote significant profits, and it has attracted several financial analysts and investors. Accuracy suffers when more features are added and time consumption increases. To address these issues, this study proposes an Effective Stock Market Prediction with a Deep Attention BiLSTM framework optimized utilizing the COOT Birds Algorithm (DABiLSTM-COOT). Initially, the stock data are collected from the NSE stock dataset (Nifty 50), and the technical and fundamental indicators are measured for effective closing price prediction. The optimal features are chosen by adopting the Improved Binary Butterfly optimization (IBBO) algorithm. The DABiLSTM-COOT method predicts closing prices more accurately. Also, the performances are analyzed in terms of precision, recall, and F1 score, MSE, RMSE and MAPE. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Attention mechanism; Closing price prediction; Deep learning; Optimal features; Optimization; Technical indicators,Article,Yes,No,No,SC01; SC03,M-0164,Primary/Other,Yes,Price,Yes,Yes,Yes,No,,Yes,5,25,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Technical_Indicators; Fundamental_Data; Transformer_Attention; Optimization; Indian_Market,nifty; nifty 50; stock market,closing price; closing prices; price prediction,attention; deep learning,accuracy; dataset; f1; mape; mse; precision; recall; rmse,"Stock Market Prediction Using Deep Attention Bi-directional Long Short-Term Memory || To address these issues, this study proposes an Effective Stock Market Prediction with a Deep Attention BiLSTM framework optimized utilizing the COOT Birds Algorithm (DABiLSTM-COOT). || Initially, the stock data are collected from the NSE stock dataset (Nifty 50), and the technical and fundamental indicators are measured for effective closing price prediction.",,,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,closing price,technical indicators,fundamental indicators,,,,,,,,attention mechanism,bilstm; long short-term memory,optimized,,,,nifty; nifty 50; nse,
doi:10.3390/math14152736,Comparative Evaluation of Deep Learning Architectures for Next-Day Stock Price Forecasting Using Technical Indicators,Aravanis T.; Kanavos A.,2026,Mathematics,10.3390/math14152736,"Accurate next-day stock price forecasting remains challenging because daily price changes have a low signal-to-noise ratio and can be strongly affected by short-lived news shocks, order-flow imbalances, and abrupt changes in volatility or market sentiment. This study presents a controlled empirical comparison of deep learning architectures for next-day stock price forecasting using technical indicators. Using a decade-long daily dataset covering four large-cap NASDAQ equities (AAPL, META, SBUX, and TSLA), multivariate input sequences are constructed by combining historical prices with five widely used technical indicators: exponential moving average (EMA), relative strength index (RSI), moving average convergence divergence (MACD), on-balance volume (OBV), and average true range (ATR). Four deep sequence architectures—long short-term memory (LSTM), bidirectional LSTM (BiLSTM), gated recurrent unit (GRU), and convolutional LSTM (ConvLSTM)—are evaluated across multiple lookback windows (5, 15, and 30 trading days) and chronological train/validation/test splits (60–20–20, 70–15–15, and 80–10–10). Hyperparameters are optimized through random search, and forecasting performance is assessed on held-out test sets using normalized-scale root mean squared error (RMSE) and out-of-sample (Formula presented.). Within the examined fixed chronological partitions, ConvLSTM records the lowest observed RMSE for all four equities, attaining values between 0.0256 and 0.0394 and out-of-sample (Formula presented.) values above 0.90. Because the evaluation does not include walk-forward validation or formal statistical significance testing, these results should be interpreted as descriptive evidence within the present experimental setting rather than as proof of general architectural superiority. To assess practical utility, forecasts are translated into a transparent long-only trading rule that enters the market when the predicted next-day closing price exceeds the current closing price. Out-of-sample backtesting shows that the frictionless forecast-driven strategy achieves higher terminal cumulative returns than Buy-and-Hold for AAPL, SBUX, and TSLA, while Buy-and-Hold remains superior for META. Approximate five-day-frequency risk-adjusted estimates generally reinforce these relative patterns: the ConvLSTM strategy improves the Sharpe, Sortino, and Calmar ratios for AAPL, SBUX, and TSLA, although TSLA remains exposed to substantial drawdown risk. Transaction-cost sensitivity analysis further indicates that the terminal-return gains weaken under trading frictions and are particularly sensitive for AAPL. The findings demonstrate the value of evaluating forecasting architectures through both statistical and financial criteria, while emphasizing that lower point-forecast error does not necessarily translate into superior economic or risk-adjusted performance. © 2026 by the authors.",convolutional LSTM; deep learning; financial time series; stock price forecasting; technical indicators; trading strategy evaluation,Article,Yes,No,No,SC01; SC02; SC05; SC06,M-2499,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,4,24,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,High,Technical_Indicators; Sentiment; Optimization; Temporal_Validation,nasdaq; stock price,closing price; price forecasting; stock price,convolutional; deep learning; gru; lstm,backtesting; comparative; comparison; dataset; evaluated; evaluation; experimental; rmse; testing,"Comparative Evaluation of Deep Learning Architectures for Next-Day Stock Price Forecasting Using Technical Indicators || Accurate next-day stock price forecasting remains challenging because daily price changes have a low signal-to-noise ratio and can be strongly affected by short-lived news shocks, order-flow imbalances, and abrupt changes in volatility or market sentiment. || This study presents a controlled empirical comparison of deep learning architectures for next-day stock price forecasting using technical indicators.",trading strategy; market sentiment,,Yes,Yes,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Yes,Unclear,Unclear,closing price; historical prices; time series; volume,atr; average true range; ema; macd; moving average; relative strength index; rsi; technical indicators,,,,sentiment,,,,,,bilstm; gru; long short-term memory; lstm,optimized; random search,,,forward validation; out-of-sample; walk-forward,,
