Source_File,Database,Query_ID,Parsed_Records,SHA256
Scopus_Query-1_1748_Records.csv,Scopus,SC01,1748,d6055c1b8aba41f6d54b1f31ca7b844cdb5f158114e08e6253d3769b338623bb
Scopus_Query-2_124_Records.csv,Scopus,SC02,124,c1618703aa8d988bff35a38426f05b84de1a540481de0f36f75ff7156eb1d405
Scopus_Query-3_53_Records.csv,Scopus,SC03,53,363d082cd1e31b9462809b5426d8b0106524e086b42b2199549f84667265dcb1
Scopus_Query-4_103_Records.csv,Scopus,SC04,103,1db303c5ba70cc1debe19bfaaa6c311a688727e7f5b304ede0ac6b2d37e825c3
Scopus_Query-5_197_Records.csv,Scopus,SC05,197,58a8a02efc8ee03207c484ecb6a137021a2714612405def7e7602038a82cd5d1
Scopus_Query-6_366_Records.csv,Scopus,SC06,366,e3e6c1c68ef57476416ca532c30029460d6426485139437b4d13206553303375
ScienceDirect_Query-1_1-100.bib,ScienceDirect,SD01,100,11d8c127d5099d24f3803284684f866c1c8400adc109b777905659db63e303d9
ScienceDirect_Query-1_101-200.bib,ScienceDirect,SD01,100,46bbbc4772a4dc6e907bf4e2308313c423dcb2d3fef64f8c4b100053c913c7f4
ScienceDirect_Query-1_201-300.bib,ScienceDirect,SD01,100,a9863589da70685479d5d91a1dfa135c5d6b13a6cf34cc026416051df2a51a79
ScienceDirect_Query-1_301-400.bib,ScienceDirect,SD01,100,67764c8aab3c7d312163596f1bc5510339016da3643929409f5b3cd2653d1413
ScienceDirect_Query-1_401-500.bib,ScienceDirect,SD01,100,1878b351fdd5a6f51701b424ede1fe81660bde7a0c0240df623cda118dbe24c4
ScienceDirect_Query-1_501-600.bib,ScienceDirect,SD01,100,a4940f848e1f63f1a3e9b3e45a7764b25f1929e7064ed4d43fe20f89fd3a3841
ScienceDirect_Query-1_601-700.bib,ScienceDirect,SD01,100,1386c1a4854c5fc8edd5c0174f33a5dbebfdefa1081ffa70468a3842b219b7b3
ScienceDirect_Query-1_701-800.bib,ScienceDirect,SD01,100,68e73c8278ad284b82344925dd2ab71f29247c608002412e335fafc7242e878f
ScienceDirect_Query-1_801-900.bib,ScienceDirect,SD01,100,38c08f092529601796bd30d285f5793466cc38a810674694499db0ab92f1ba99
ScienceDirect_Query-1_901-918.bib,ScienceDirect,SD01,18,97fa030754d6d9ff982ffb81f1d68db70b16000e9845443e0ecc8f895bcff774
ScienceDirect_Query-2_1-100.bib,ScienceDirect,SD02,100,65994bbfc48c1fb36b2ae389d8527ab61d046732f059f9cbce9cf5e77bd4570a
ScienceDirect_Query-2_101-200.bib,ScienceDirect,SD02,100,19c37588aaa30607b4ab791b7d5f529902738d8020e2e9b7a3f8fe5175aef1e1
ScienceDirect_Query-2_201-300.bib,ScienceDirect,SD02,100,c59c28a41b227eca74c9d6e389d5a00562494a99b74502853b59400ef4151c95
ScienceDirect_Query-2_301-303.bib,ScienceDirect,SD02,3,a0b05b8d1b82936a5230ab13a9cbdbd9ee869725336a49719a09c58a7d97430b
ScienceDirect_Query-3_1-100.bib,ScienceDirect,SD03,100,50584822911c546cc05f914338de9c99652a5312ad7e44f56ecbd4819f9ef0ca
ScienceDirect_Query-3_1-150.bib,ScienceDirect,SD03,50,068273e4d64a23e3e8a845a94d7e5955db41fc20747bd02a980e1895a1c9d61c
ScienceDirect_Query-4_1-100.bib,ScienceDirect,SD04,100,626abd296532b6b896a6bcbc8efeacea21d9d581a0469f84a4ef561df214fa93
ScienceDirect_Query-4_101-199.bib,ScienceDirect,SD04,99,3db190f6e8898b1fc485b11c79880e784bbf4e2cccdd1bc17038529f3780a160
ScienceDirect_Query-5_1-100.bib,ScienceDirect,SD05,100,f30bd366654512e66dd33d369fca3586655a09627d2372329a6048dbaf972cb6
ScienceDirect_Query-5_101-200.bib,ScienceDirect,SD05,100,012fd9d2160677ec4fcd183c0a00b91a1430f32c55775df4eea698a16a2140a1
ScienceDirect_Query-5_201-300.bib,ScienceDirect,SD05,100,f6fb625ce0d44c8546ed46d9bf1430bd267e466a77ac73b80e2e792656475082
ScienceDirect_Query-5_301-400.bib,ScienceDirect,SD05,100,89182f6c56486beef11207af36a5147446eecbe19404892705285a46be6f4080
EL01_multimodal_four_modalities.bib,Elicit,EL01,10,3410d309fa0cee21b9fa0405d0f41f2ab807349d3959ec11c61743dba02809b8
EL02_fundamental_technical.bib,Elicit,EL02,4,9a67873ffeb56700f9f805f40d561dc0f991c28961eec2d8f7ab33e12c1c57b0
EL03_financial_sentiment_llm.bib,Elicit,EL03,21,cd7f0fb389cf3770df46045358a43d12c3a4e696f98a6125a27a75e1fbea3e2d
EL04_multimodal_fusion.bib,Elicit,EL04,22,b850a02c691f1a32cf3bd9aa4892fd23441d36e802971dc35fc7df7d43bf3e7d
EL05_optimization.bib,Elicit,EL05,22,bd33d818c496f345694634172b81307f27db4086e0b85acf58ed4a24b4c401dc
EL06_explainability.bib,Elicit,EL06,21,5819b84f9cc4a01ea16228a5a228638b32bce89c36632f90c7cfcc22a847a01c
EL07_temporal_validation.bib,Elicit,EL07,20,d99066a7d933cfdcdab765c17ef5ca13672b4e61d0aa6ad283a3adfa2823569d
EL08_gaps_future_work.bib,Elicit,EL08,11,e987215d47235705093a9f80bdea948ea24f5af04ba9213499a70123ca69be36
