Ticker,Rows,Missing_Columns,Core_Null_Count,Duplicate_Dates,Nonpositive_Price_Rows,Negative_Volume_Rows,Zero_Volume_Rows,OHLC_Inconsistency_Rows,Passed
ASIANPAINT.NS,2582,,0,0,0,0,0,0,True
AXISBANK.NS,2582,,0,0,0,0,0,0,True
BAJFINANCE.NS,2582,,0,0,0,0,0,0,True
BHARTIARTL.NS,2582,,0,0,0,0,0,0,True
HDFCBANK.NS,2582,,0,0,0,0,0,0,True
HINDUNILVR.NS,2582,,0,0,0,0,0,0,True
ICICIBANK.NS,2582,,0,0,0,0,0,0,True
INFY.NS,2582,,0,0,0,0,0,0,True
ITC.NS,2582,,0,0,0,0,0,0,True
KOTAKBANK.NS,2582,,0,0,0,0,0,0,True
LT.NS,2582,,0,0,0,0,0,0,True
MARUTI.NS,2582,,0,0,0,0,0,0,True
NTPC.NS,2582,,0,0,0,0,0,0,True
POWERGRID.NS,2582,,0,0,0,0,0,0,True
RELIANCE.NS,2582,,0,0,0,0,0,0,True
SBIN.NS,2582,,0,0,0,0,0,0,True
SUNPHARMA.NS,2582,,0,0,0,0,0,0,True
TCS.NS,2582,,0,0,0,0,0,0,True
TITAN.NS,2582,,0,0,0,0,0,0,True
ULTRACEMCO.NS,2582,,0,0,0,0,0,0,True
