Ticker,Is_Benchmark,Rows,First_Date,Last_Date,Benchmark_Trading_Days,Common_Benchmark_Days,Missing_Benchmark_Days,Extra_NonBenchmark_Days,Benchmark_Coverage_Pct,Start_Lag_Trading_Days,End_Lag_Trading_Days,Duplicate_Date_Count,Missing_Columns,Null_Open,Null_High,Null_Low,Null_Close,Null_Adj_Close,Null_Volume,Core_Null_Total,Invalid_Price_Row_Count,Negative_Volume_Row_Count,Zero_Volume_Row_Count,OHLC_Inconsistency_Row_Count,Large_Adjusted_Log_Return_Count,Dividend_Event_Count,Split_Event_Count,Prelim_Eligible
^NSEI,True,2583,2016-01-04,2026-06-30,2583,2583,0,0,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,28,0,0,0,0,True
ASIANPAINT.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,22,0,True
AXISBANK.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,1,7,0,True
BAJFINANCE.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,13,2,True
BHARTIARTL.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,10,0,True
HDFCBANK.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,12,2,True
HINDUNILVR.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,22,0,True
ICICIBANK.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,9,1,True
INFY.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,22,1,True
ITC.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,4,0,0,17,1,True
KOTAKBANK.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,9,1,True
LT.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,14,1,True
MARUTI.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,10,0,True
NTPC.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,24,1,True
POWERGRID.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,27,2,True
RELIANCE.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,11,2,True
SBIN.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,8,0,True
SUNPHARMA.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,17,0,True
TCS.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,43,1,True
TITAN.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,10,0,True
ULTRACEMCO.NS,False,2593,2016-01-01,2026-06-30,2583,2583,0,10,100.0,0,0,0,,0,0,0,0,0,0,0,0,0,5,0,0,10,0,True
