Ticker,Date,Dividend,Stock_Split
ASIANPAINT.NS,2016-06-16,5.3,0.0
ASIANPAINT.NS,2016-11-01,2.65,0.0
ASIANPAINT.NS,2017-06-15,7.65,0.0
ASIANPAINT.NS,2017-10-31,2.65,0.0
ASIANPAINT.NS,2018-06-14,6.05,0.0
ASIANPAINT.NS,2018-10-29,2.85,0.0
ASIANPAINT.NS,2019-06-13,7.65,0.0
ASIANPAINT.NS,2019-10-30,3.35,0.0
ASIANPAINT.NS,2020-03-03,7.15,0.0
ASIANPAINT.NS,2020-07-23,1.5,0.0
ASIANPAINT.NS,2020-10-28,3.35,0.0
ASIANPAINT.NS,2021-06-10,14.5,0.0
ASIANPAINT.NS,2021-10-28,3.65,0.0
ASIANPAINT.NS,2022-06-09,15.5,0.0
ASIANPAINT.NS,2022-10-31,4.4,0.0
ASIANPAINT.NS,2023-06-09,21.25,0.0
ASIANPAINT.NS,2023-11-03,5.15,0.0
ASIANPAINT.NS,2024-06-11,28.15,0.0
ASIANPAINT.NS,2024-11-19,4.25,0.0
ASIANPAINT.NS,2025-06-10,20.55,0.0
ASIANPAINT.NS,2025-11-18,4.5,0.0
ASIANPAINT.NS,2026-06-23,23.0,0.0
AXISBANK.NS,2016-07-07,5.0,0.0
AXISBANK.NS,2017-07-06,5.0,0.0
AXISBANK.NS,2019-07-04,1.0,0.0
AXISBANK.NS,2022-07-07,1.0,0.0
AXISBANK.NS,2023-07-07,1.0,0.0
AXISBANK.NS,2024-07-12,1.0,0.0
AXISBANK.NS,2025-07-04,1.0,0.0
BAJFINANCE.NS,2016-03-16,0.18,0.0
BAJFINANCE.NS,2016-07-14,0.07,0.0
BAJFINANCE.NS,2016-09-08,0.0,5.0
BAJFINANCE.NS,2017-07-06,0.36,0.0
BAJFINANCE.NS,2018-07-05,0.4,0.0
BAJFINANCE.NS,2019-07-11,0.6,0.0
BAJFINANCE.NS,2020-03-03,1.0,0.0
BAJFINANCE.NS,2021-07-08,1.0,0.0
BAJFINANCE.NS,2022-06-30,2.0,0.0
BAJFINANCE.NS,2023-06-30,3.0,0.0
BAJFINANCE.NS,2024-06-21,3.6,0.0
BAJFINANCE.NS,2025-05-09,1.2,0.0
BAJFINANCE.NS,2025-05-30,4.4,0.0
BAJFINANCE.NS,2025-06-16,0.0,2.0
BAJFINANCE.NS,2026-06-30,6.0,0.0
BHARTIARTL.NS,2016-08-11,1.22571,0.0
BHARTIARTL.NS,2017-07-13,0.901257,0.0
BHARTIARTL.NS,2018-01-30,2.559571,0.0
BHARTIARTL.NS,2018-08-02,2.253143,0.0
BHARTIARTL.NS,2018-11-05,2.253143,0.0
BHARTIARTL.NS,2020-08-06,1.963142,0.0
BHARTIARTL.NS,2022-08-01,3.0,0.0
BHARTIARTL.NS,2023-08-11,4.0,0.0
