Ticker,Rows,First_Date,Last_Date,Benchmark_Coverage_Pct,Missing_Benchmark_Days,Core_Null_Total,Duplicate_Date_Count,Invalid_Price_Row_Count,Negative_Volume_Row_Count,Zero_Volume_Row_Count,OHLC_Inconsistency_Row_Count,Large_Adjusted_Log_Return_Count,Dividend_Event_Count,Split_Event_Count,Prelim_Eligible
ASIANPAINT.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,22,0,True
AXISBANK.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,1,7,0,True
BAJFINANCE.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,13,2,True
BHARTIARTL.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,10,0,True
HDFCBANK.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,12,2,True
HINDUNILVR.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,22,0,True
ICICIBANK.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,9,1,True
INFY.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,22,1,True
ITC.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,4,0,0,17,1,True
KOTAKBANK.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,9,1,True
LT.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,14,1,True
MARUTI.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,10,0,True
NTPC.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,24,1,True
POWERGRID.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,27,2,True
RELIANCE.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,11,2,True
SBIN.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,8,0,True
SUNPHARMA.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,17,0,True
TCS.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,43,1,True
TITAN.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,10,0,True
ULTRACEMCO.NS,2593,2016-01-01,2026-06-30,100.0,0,0,0,0,0,5,0,0,10,0,True
