Ticker,NSE_Symbol,Date,HTTP_Status,Request_Error,Recovered,Open_NSE,High_NSE,Low_NSE,Close_NSE,Total_Traded_Qty_NSE,Deliverable_Qty_NSE,Raw_Record_Keys
ASIANPAINT.NS,ASIANPAINT,2025-03-18,503,HTTP 503,False,,,,,,,
AXISBANK.NS,AXISBANK,2025-03-18,503,HTTP 503,False,,,,,,,
BAJFINANCE.NS,BAJFINANCE,2025-03-18,503,HTTP 503,False,,,,,,,
BHARTIARTL.NS,BHARTIARTL,2025-03-18,503,HTTP 503,False,,,,,,,
HDFCBANK.NS,HDFCBANK,2025-03-18,503,HTTP 503,False,,,,,,,
HINDUNILVR.NS,HINDUNILVR,2025-03-18,503,HTTP 503,False,,,,,,,
ICICIBANK.NS,ICICIBANK,2025-03-18,503,HTTP 503,False,,,,,,,
INFY.NS,INFY,2025-03-18,503,HTTP 503,False,,,,,,,
ITC.NS,ITC,2025-03-18,503,HTTP 503,False,,,,,,,
KOTAKBANK.NS,KOTAKBANK,2025-03-18,503,HTTP 503,False,,,,,,,
LT.NS,LT,2025-03-18,503,HTTP 503,False,,,,,,,
MARUTI.NS,MARUTI,2025-03-18,503,HTTP 503,False,,,,,,,
NTPC.NS,NTPC,2025-03-18,503,HTTP 503,False,,,,,,,
POWERGRID.NS,POWERGRID,2025-03-18,503,HTTP 503,False,,,,,,,
RELIANCE.NS,RELIANCE,2025-03-18,503,HTTP 503,False,,,,,,,
SBIN.NS,SBIN,2025-03-18,503,HTTP 503,False,,,,,,,
SUNPHARMA.NS,SUNPHARMA,2025-03-18,503,HTTP 503,False,,,,,,,
TCS.NS,TCS,2025-03-18,503,HTTP 503,False,,,,,,,
TITAN.NS,TITAN,2025-03-18,503,HTTP 503,False,,,,,,,
ULTRACEMCO.NS,ULTRACEMCO,2025-03-18,503,HTTP 503,False,,,,,,,
